routing_pass,circuit_type,num_qubits,topology,status,error,Gate Count,Circuit Depth,2Q Count,2Q Depth
qlego-tket_AASRoutePass,GHZ Circuit,10,heavy_hex,success,,12.0,12.0,9.0,9.0
qlego-tket_LexiRoutePass,GHZ Circuit,10,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,GHZ Circuit,10,heavy_hex,success,,12.0,12.0,9.0,9.0
qlego-bqskit_GeneralizedSabreRoutingPass,GHZ Circuit,10,heavy_hex,success,,12.0,12.0,9.0,9.0
qlego-bqskit_PAMRoutingPass,GHZ Circuit,10,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,GHZ Circuit,15,heavy_hex,success,,47.0,33.0,29.0,29.0
qlego-qiskit_SabreSwapRoutingPass,GHZ Circuit,15,heavy_hex,success,,47.0,33.0,29.0,29.0
qlego-qiskit_BasicSwapRoutingPass,GHZ Circuit,15,heavy_hex,success,,50.0,36.0,32.0,32.0
qlego-qiskit_LookaheadRoutingPass,GHZ Circuit,15,heavy_hex,success,,44.0,30.0,26.0,26.0
qlego-qiskit_StochasticSwapRoutingPass,GHZ Circuit,15,heavy_hex,success,,44.0,30.0,26.0,26.0
qlego-tket_TketDefaultRoutingPass,GHZ Circuit,15,heavy_hex,success,,59.0,32.0,56.0,29.0
qlego-tket_AASRoutePass,GHZ Circuit,15,heavy_hex,success,,183.0,107.0,180.0,107.0
qlego-tket_LexiRoutePass,GHZ Circuit,15,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,GHZ Circuit,15,heavy_hex,success,,32.0,32.0,29.0,29.0
qlego-bqskit_GeneralizedSabreRoutingPass,GHZ Circuit,15,heavy_hex,success,,32.0,32.0,29.0,29.0
qlego-bqskit_PAMRoutingPass,GHZ Circuit,15,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,GHZ Circuit,20,heavy_hex,success,,63.0,41.0,40.0,37.0
qlego-qiskit_SabreSwapRoutingPass,GHZ Circuit,20,heavy_hex,success,,63.0,41.0,40.0,37.0
qlego-qiskit_BasicSwapRoutingPass,GHZ Circuit,20,heavy_hex,success,,63.0,41.0,40.0,37.0
qlego-qiskit_LookaheadRoutingPass,GHZ Circuit,20,heavy_hex,success,,63.0,41.0,40.0,37.0
qlego-qiskit_StochasticSwapRoutingPass,GHZ Circuit,20,heavy_hex,success,,63.0,41.0,40.0,37.0
qlego-tket_TketDefaultRoutingPass,GHZ Circuit,20,heavy_hex,success,,91.0,70.0,88.0,67.0
qlego-tket_AASRoutePass,GHZ Circuit,20,heavy_hex,success,,392.0,299.0,389.0,299.0
qlego-tket_LexiRoutePass,GHZ Circuit,20,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,GHZ Circuit,20,heavy_hex,success,,43.0,40.0,40.0,37.0
qlego-bqskit_GeneralizedSabreRoutingPass,GHZ Circuit,20,heavy_hex,success,,43.0,40.0,40.0,37.0
qlego-bqskit_PAMRoutingPass,GHZ Circuit,20,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,Grover Circuit,5,heavy_hex,success,,825.0,669.0,399.0,375.0
qlego-qiskit_SabreSwapRoutingPass,Grover Circuit,5,heavy_hex,success,,807.0,630.0,381.0,348.0
qlego-qiskit_BasicSwapRoutingPass,Grover Circuit,5,heavy_hex,success,,819.0,629.0,393.0,360.0
qlego-qiskit_LookaheadRoutingPass,Grover Circuit,5,heavy_hex,success,,810.0,633.0,384.0,351.0
qlego-qiskit_StochasticSwapRoutingPass,Grover Circuit,5,heavy_hex,success,,819.0,672.0,393.0,370.0
qlego-tket_TketDefaultRoutingPass,Grover Circuit,5,heavy_hex,success,,904.0,706.0,483.0,419.0
qlego-tket_AASRoutePass,Grover Circuit,5,heavy_hex,success,,1033.0,787.0,463.0,425.0
qlego-tket_LexiRoutePass,Grover Circuit,5,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,Grover Circuit,5,heavy_hex,success,,814.0,673.0,393.0,370.0
qlego-bqskit_GeneralizedSabreRoutingPass,Grover Circuit,5,heavy_hex,success,,802.0,629.0,381.0,348.0
qlego-bqskit_PAMRoutingPass,Grover Circuit,5,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,Grover Circuit,10,heavy_hex,success,,64515.0,47464.0,36852.0,28643.0
qlego-qiskit_SabreSwapRoutingPass,Grover Circuit,10,heavy_hex,success,,64860.0,48727.0,37197.0,29691.0
qlego-qiskit_BasicSwapRoutingPass,Grover Circuit,10,heavy_hex,success,,59862.0,46287.0,32199.0,26264.0
qlego-qiskit_LookaheadRoutingPass,Grover Circuit,10,heavy_hex,success,,62454.0,46272.0,34791.0,26788.0
qlego-qiskit_StochasticSwapRoutingPass,Grover Circuit,10,heavy_hex,success,,62502.0,46465.0,34839.0,26833.0
qlego-tket_TketDefaultRoutingPass,Grover Circuit,10,heavy_hex,success,,73403.0,56066.0,45750.0,37599.0
qlego-tket_AASRoutePass,Grover Circuit,10,heavy_hex,success,,71750.0,52895.0,42312.0,32834.0
qlego-tket_LexiRoutePass,Grover Circuit,10,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,Grover Circuit,10,heavy_hex,success,,59849.0,46312.0,32196.0,26267.0
qlego-bqskit_GeneralizedSabreRoutingPass,Grover Circuit,10,heavy_hex,success,,59804.0,46353.0,32151.0,26226.0
qlego-bqskit_PAMRoutingPass,Grover Circuit,10,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,Grover Circuit,15,heavy_hex,success,,1220359.0,956088.0,676801.0,534405.0
qlego-qiskit_SabreSwapRoutingPass,Grover Circuit,15,heavy_hex,success,,1222498.0,962166.0,678940.0,537986.0
qlego-qiskit_BasicSwapRoutingPass,Grover Circuit,15,heavy_hex,success,,1193497.0,943864.0,649939.0,518392.0
qlego-qiskit_LookaheadRoutingPass,Grover Circuit,15,heavy_hex,success,,1219834.0,957893.0,676276.0,534608.0
qlego-qiskit_StochasticSwapRoutingPass,Grover Circuit,15,heavy_hex,success,,1222051.0,960691.0,678493.0,539079.0
qlego-tket_TketDefaultRoutingPass,Grover Circuit,15,heavy_hex,success,,1322695.0,1036233.0,779152.0,616835.0
qlego-tket_AASRoutePass,Grover Circuit,15,heavy_hex,failed,Timeout: pipeline exceeded 300s,,,,
qlego-tket_LexiRoutePass,Grover Circuit,15,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,Grover Circuit,15,heavy_hex,success,,1376905.0,1070690.0,833362.0,654663.0
qlego-bqskit_GeneralizedSabreRoutingPass,Grover Circuit,15,heavy_hex,success,,1187461.0,932810.0,643918.0,507918.0
qlego-bqskit_PAMRoutingPass,Grover Circuit,15,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,Grover Circuit,20,heavy_hex,success,,14503892.0,11835779.0,8116654.0,6523422.0
qlego-qiskit_SabreSwapRoutingPass,Grover Circuit,20,heavy_hex,success,,14496044.0,11826690.0,8108806.0,6515367.0
qlego-qiskit_BasicSwapRoutingPass,Grover Circuit,20,heavy_hex,failed,"Worker subprocess failed with code -9
STDERR: Starting pass Preset Init Pass
Finished pass Preset Init Pass
Starting pass Sabre Layout
Finished pass Sabre Layout
Starting pass Basic Swap Routing Pass
",,,,
qlego-qiskit_LookaheadRoutingPass,Grover Circuit,20,heavy_hex,failed,"Worker subprocess failed with code -9
STDERR: Starting pass Preset Init Pass
Finished pass Preset Init Pass
Starting pass Sabre Layout
Finished pass Sabre Layout
Starting pass Lookahead Routing Pass

",,,,
qlego-qiskit_StochasticSwapRoutingPass,Grover Circuit,20,heavy_hex,failed,"Worker subprocess failed with code -9
STDERR: Starting pass Preset Init Pass
Finished pass Preset Init Pass
Starting pass Sabre Layout
Finished pass Sabre Layout
Starting pass Stochastic Swap Routing ",,,,
qlego-tket_TketDefaultRoutingPass,Grover Circuit,20,heavy_hex,failed,Timeout: pipeline exceeded 300s,,,,
qlego-tket_AASRoutePass,Grover Circuit,20,heavy_hex,failed,Timeout: pipeline exceeded 300s,,,,
qlego-tket_LexiRoutePass,Grover Circuit,20,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,Grover Circuit,20,heavy_hex,failed,Timeout: pipeline exceeded 300s,,,,
qlego-bqskit_GeneralizedSabreRoutingPass,Grover Circuit,20,heavy_hex,failed,Timeout: pipeline exceeded 300s,,,,
qlego-bqskit_PAMRoutingPass,Grover Circuit,20,heavy_hex,failed,Timeout: pipeline exceeded 300s,,,,
qlego-qiskit_PresetRoutingPass,QFT Circuit,5,heavy_hex,success,,85.0,55.0,35.0,31.0
qlego-qiskit_SabreSwapRoutingPass,QFT Circuit,5,heavy_hex,success,,85.0,55.0,35.0,31.0
qlego-qiskit_BasicSwapRoutingPass,QFT Circuit,5,heavy_hex,success,,88.0,52.0,38.0,29.0
qlego-qiskit_LookaheadRoutingPass,QFT Circuit,5,heavy_hex,success,,88.0,60.0,38.0,34.0
qlego-qiskit_StochasticSwapRoutingPass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-tket_TketDefaultRoutingPass,QFT Circuit,5,heavy_hex,success,,209.0,146.0,44.0,39.0
qlego-tket_AASRoutePass,QFT Circuit,5,heavy_hex,success,,61.0,45.0,24.0,21.0
qlego-tket_LexiRoutePass,QFT Circuit,5,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,QFT Circuit,5,heavy_hex,success,,197.0,128.0,32.0,28.0
qlego-bqskit_GeneralizedSabreRoutingPass,QFT Circuit,5,heavy_hex,success,,77.0,52.0,32.0,28.0
qlego-bqskit_PAMRoutingPass,QFT Circuit,5,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,QFT Circuit,10,heavy_hex,success,,388.0,183.0,213.0,122.0
qlego-qiskit_SabreSwapRoutingPass,QFT Circuit,10,heavy_hex,success,,382.0,166.0,207.0,105.0
qlego-qiskit_BasicSwapRoutingPass,QFT Circuit,10,heavy_hex,success,,388.0,175.0,213.0,117.0
qlego-qiskit_LookaheadRoutingPass,QFT Circuit,10,heavy_hex,success,,379.0,196.0,204.0,129.0
qlego-qiskit_StochasticSwapRoutingPass,QFT Circuit,10,heavy_hex,success,,373.0,190.0,198.0,120.0
qlego-tket_TketDefaultRoutingPass,QFT Circuit,10,heavy_hex,success,,978.0,452.0,273.0,170.0
qlego-tket_AASRoutePass,QFT Circuit,10,heavy_hex,success,,3516.0,2888.0,3397.0,2853.0
qlego-tket_LexiRoutePass,QFT Circuit,10,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,QFT Circuit,10,heavy_hex,success,,903.0,429.0,198.0,120.0
qlego-bqskit_GeneralizedSabreRoutingPass,QFT Circuit,10,heavy_hex,success,,351.0,174.0,186.0,106.0
qlego-bqskit_PAMRoutingPass,QFT Circuit,10,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,QFT Circuit,15,heavy_hex,success,,906.0,344.0,531.0,244.0
qlego-qiskit_SabreSwapRoutingPass,QFT Circuit,15,heavy_hex,success,,915.0,373.0,540.0,262.0
qlego-qiskit_BasicSwapRoutingPass,QFT Circuit,15,heavy_hex,success,,906.0,359.0,531.0,256.0
qlego-qiskit_LookaheadRoutingPass,QFT Circuit,15,heavy_hex,success,,933.0,390.0,558.0,271.0
qlego-qiskit_StochasticSwapRoutingPass,QFT Circuit,15,heavy_hex,success,,891.0,342.0,516.0,226.0
qlego-tket_TketDefaultRoutingPass,QFT Circuit,15,heavy_hex,success,,2529.0,1094.0,909.0,473.0
qlego-tket_AASRoutePass,QFT Circuit,15,heavy_hex,success,,1591.0,975.0,1346.0,903.0
qlego-tket_LexiRoutePass,QFT Circuit,15,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,QFT Circuit,15,heavy_hex,success,,2163.0,866.0,543.0,273.0
qlego-bqskit_GeneralizedSabreRoutingPass,QFT Circuit,15,heavy_hex,success,,882.0,314.0,522.0,213.0
qlego-bqskit_PAMRoutingPass,QFT Circuit,15,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,QFT Circuit,20,heavy_hex,success,,1627.0,571.0,977.0,393.0
qlego-qiskit_SabreSwapRoutingPass,QFT Circuit,20,heavy_hex,success,,1594.0,548.0,944.0,378.0
qlego-qiskit_BasicSwapRoutingPass,QFT Circuit,20,heavy_hex,success,,1693.0,564.0,1043.0,390.0
qlego-qiskit_LookaheadRoutingPass,QFT Circuit,20,heavy_hex,success,,1714.0,672.0,1064.0,481.0
qlego-qiskit_StochasticSwapRoutingPass,QFT Circuit,20,heavy_hex,success,,1672.0,446.0,1022.0,309.0
qlego-tket_TketDefaultRoutingPass,QFT Circuit,20,heavy_hex,success,,4589.0,1511.0,1679.0,609.0
qlego-tket_AASRoutePass,QFT Circuit,20,heavy_hex,success,,208015.0,164096.0,207574.0,164008.0
qlego-tket_LexiRoutePass,QFT Circuit,20,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,QFT Circuit,20,heavy_hex,success,,4082.0,1146.0,1172.0,386.0
qlego-bqskit_GeneralizedSabreRoutingPass,QFT Circuit,20,heavy_hex,success,,1685.0,626.0,1055.0,442.0
qlego-bqskit_PAMRoutingPass,QFT Circuit,20,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,Amplitude Estimation Circuit,5,heavy_hex,success,,304.0,243.0,57.0,57.0
qlego-qiskit_SabreSwapRoutingPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,240.0,54.0,54.0
qlego-qiskit_BasicSwapRoutingPass,Amplitude Estimation Circuit,5,heavy_hex,success,,304.0,236.0,57.0,55.0
qlego-qiskit_LookaheadRoutingPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,240.0,54.0,54.0
qlego-qiskit_StochasticSwapRoutingPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,240.0,54.0,54.0
qlego-tket_TketDefaultRoutingPass,Amplitude Estimation Circuit,5,heavy_hex,success,,557.0,351.0,63.0,59.0
qlego-tket_AASRoutePass,Amplitude Estimation Circuit,5,heavy_hex,success,,2703.0,2011.0,2386.0,1850.0
qlego-tket_LexiRoutePass,Amplitude Estimation Circuit,5,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,Amplitude Estimation Circuit,5,heavy_hex,success,,548.0,360.0,54.0,54.0
qlego-bqskit_GeneralizedSabreRoutingPass,Amplitude Estimation Circuit,5,heavy_hex,success,,296.0,240.0,54.0,54.0
qlego-bqskit_PAMRoutingPass,Amplitude Estimation Circuit,5,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,Amplitude Estimation Circuit,10,heavy_hex,success,,8028.0,6812.0,1208.0,1136.0
qlego-qiskit_SabreSwapRoutingPass,Amplitude Estimation Circuit,10,heavy_hex,success,,8031.0,6800.0,1211.0,1126.0
qlego-qiskit_BasicSwapRoutingPass,Amplitude Estimation Circuit,10,heavy_hex,success,,8013.0,6815.0,1193.0,1136.0
qlego-qiskit_LookaheadRoutingPass,Amplitude Estimation Circuit,10,heavy_hex,success,,8019.0,6793.0,1199.0,1120.0
qlego-qiskit_StochasticSwapRoutingPass,Amplitude Estimation Circuit,10,heavy_hex,success,,8037.0,6812.0,1217.0,1136.0
qlego-tket_TketDefaultRoutingPass,Amplitude Estimation Circuit,10,heavy_hex,success,,14576.0,9023.0,1202.0,1129.0
qlego-tket_AASRoutePass,Amplitude Estimation Circuit,10,heavy_hex,success,,15637.0,13431.0,6296.0,4269.0
qlego-tket_LexiRoutePass,Amplitude Estimation Circuit,10,heavy_hex,failed,ImportError: cannot import name 'LexiRouteRoutingPass' from 'pytket.passes' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/envs/env_1/lib/python3.12/site-packages/pytket/passes/__init__.py),,,,
qlego-tket_BoxDecomposeRoutePass,Amplitude Estimation Circuit,10,heavy_hex,success,,14576.0,9045.0,1202.0,1134.0
qlego-bqskit_GeneralizedSabreRoutingPass,Amplitude Estimation Circuit,10,heavy_hex,success,,8015.0,6801.0,1205.0,1124.0
qlego-bqskit_PAMRoutingPass,Amplitude Estimation Circuit,10,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-qiskit_PresetRoutingPass,Amplitude Estimation Circuit,15,heavy_hex,success,,246598.0,213333.0,33242.0,33017.0
qlego-qiskit_SabreSwapRoutingPass,Amplitude Estimation Circuit,15,heavy_hex,success,,246610.0,213334.0,33254.0,33020.0
qlego-qiskit_BasicSwapRoutingPass,Amplitude Estimation Circuit,15,heavy_hex,success,,246604.0,213330.0,33248.0,33016.0
qlego-qiskit_LookaheadRoutingPass,Amplitude Estimation Circuit,15,heavy_hex,success,,246634.0,213336.0,33278.0,33019.0
qlego-qiskit_StochasticSwapRoutingPass,Amplitude Estimation Circuit,15,heavy_hex,success,,246607.0,213303.0,33251.0,32995.0
qlego-tket_TketDefaultRoutingPass,Amplitude Estimation Circuit,15,heavy_hex,success,,444451.0,279440.0,33422.0,33133.0
