optimization_pass,circuit_type,num_qubits,topology,status,error,Gate Count,Circuit Depth,2Q Count,2Q Depth
qlego-bqskit_ScanningGateRemovalPassPass,GHZ Circuit,5,heavy_hex,success,,7.0,7.0,4.0,4.0
qlego-bqskit_IterativeScanningGateRemovalPassPass,GHZ Circuit,5,heavy_hex,success,,7.0,7.0,4.0,4.0
qlego-bqskit_TreeScanningGateRemovalPassPass,GHZ Circuit,5,heavy_hex,success,,7.0,7.0,4.0,4.0
qlego-bqskit_QuickPartitionerPass,GHZ Circuit,5,heavy_hex,success,,7.0,7.0,4.0,4.0
Baseline,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_PresetOptimizationPass,Grover Circuit,5,heavy_hex,success,,1940.0,1143.0,350.0,320.0
qlego-qiskit_Optimize1qGatesPass,Grover Circuit,5,heavy_hex,success,,1008.0,777.0,390.0,356.0
qlego-qiskit_Optimize1qGateDecompositionPass,Grover Circuit,5,heavy_hex,success,,720.0,551.0,390.0,356.0
qlego-qiskit_Optimize1qGateSimpleCommutationPass,Grover Circuit,5,heavy_hex,success,,982.0,757.0,390.0,356.0
qlego-qiskit_CommutativeCancellationPass,Grover Circuit,5,heavy_hex,success,,816.0,624.0,390.0,356.0
qlego-qiskit_CommutationAnalysisPass,Grover Circuit,5,heavy_hex,success,,816.0,624.0,390.0,356.0
qlego-qiskit_CommutativeOptimizationPass,Grover Circuit,5,heavy_hex,success,,816.0,624.0,390.0,356.0
qlego-qiskit_OptimizeCliffordsPass,Grover Circuit,5,heavy_hex,success,,816.0,624.0,390.0,356.0
qlego-qiskit_OptimizeCliffordTPass,Grover Circuit,5,heavy_hex,success,,816.0,624.0,390.0,356.0
qlego-qiskit_CollectCliffordsPass,Grover Circuit,5,heavy_hex,success,,2346.0,1306.0,373.0,339.0
qlego-qiskit_Collect2qBlocksPass,Grover Circuit,5,heavy_hex,success,,816.0,624.0,390.0,356.0
qlego-qiskit_CollectMultiQBlocksPass,Grover Circuit,5,heavy_hex,success,,816.0,624.0,390.0,356.0
qlego-qiskit_RemoveIdentityEquivalentPass,Grover Circuit,5,heavy_hex,success,,816.0,624.0,390.0,356.0
qlego-qiskit_OptimizeSwapBeforeMeasurePass,Grover Circuit,5,heavy_hex,success,,816.0,624.0,390.0,356.0
qlego-qiskit_RemoveFinalResetPass,Grover Circuit,5,heavy_hex,success,,816.0,624.0,390.0,356.0
qlego-tket_SquashTK1Pass,Grover Circuit,5,heavy_hex,success,,1380.0,990.0,390.0,356.0
qlego-tket_SquashRzPhasedXPass,Grover Circuit,5,heavy_hex,success,,1555.0,1146.0,390.0,356.0
qlego-tket_DecomposeSingleQubitsTK1Pass,Grover Circuit,5,heavy_hex,success,,1860.0,1346.0,390.0,356.0
qlego-tket_FullPeepholeOptimizePass,Grover Circuit,5,heavy_hex,success,,1123.0,793.0,168.0,147.0
qlego-tket_CliffordSimpPass,Grover Circuit,5,heavy_hex,success,,1164.0,831.0,174.0,148.0
qlego-tket_PeepholeOptimize2QPass,Grover Circuit,5,heavy_hex,success,,1143.0,783.0,168.0,142.0
qlego-tket_KAKDecompositionPass,Grover Circuit,5,heavy_hex,success,,1518.0,954.0,333.0,309.0
qlego-tket_RemoveRedundanciesPass,Grover Circuit,5,heavy_hex,success,,1860.0,1346.0,390.0,356.0
qlego-tket_RemovePhaseOpsPass,Grover Circuit,5,heavy_hex,success,,1860.0,1346.0,390.0,356.0
qlego-tket_DelayMeasuresPass,Grover Circuit,5,heavy_hex,success,,1860.0,1346.0,390.0,356.0
qlego-tket_SimplifyMeasuresPass,Grover Circuit,5,heavy_hex,success,,1860.0,1346.0,390.0,356.0
qlego-tket_RemoveDiscardedPass,Grover Circuit,5,heavy_hex,success,,1860.0,1346.0,390.0,356.0
qlego-tket_SynthesiseTketPass,Grover Circuit,5,heavy_hex,success,,1368.0,1022.0,388.0,356.0
qlego-bqskit_GroupSingleQuditGatePassPass,Grover Circuit,5,heavy_hex,success,,811.0,623.0,390.0,356.0
qlego-bqskit_ScanningGateRemovalPassPass,Grover Circuit,5,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-bqskit_IterativeScanningGateRemovalPassPass,Grover Circuit,5,heavy_hex,success,,802.0,619.0,390.0,356.0
qlego-bqskit_TreeScanningGateRemovalPassPass,Grover Circuit,5,heavy_hex,failed,RuntimeError: Server connection unexpectedly closed.,,,,
qlego-bqskit_QuickPartitionerPass,Grover Circuit,5,heavy_hex,success,,811.0,623.0,390.0,356.0
Baseline,Grover Circuit,5,heavy_hex,success,,816.0,624.0,390.0,356.0
qlego-qiskit_PresetOptimizationPass,QFT Circuit,5,heavy_hex,success,,122.0,67.0,28.0,25.0
qlego-qiskit_Optimize1qGatesPass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-qiskit_Optimize1qGateDecompositionPass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-qiskit_Optimize1qGateSimpleCommutationPass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-qiskit_CommutativeCancellationPass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-qiskit_CommutationAnalysisPass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-qiskit_CommutativeOptimizationPass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-qiskit_OptimizeCliffordsPass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-qiskit_OptimizeCliffordTPass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-qiskit_CollectCliffordsPass,QFT Circuit,5,heavy_hex,success,,109.0,66.0,32.0,28.0
qlego-qiskit_Collect2qBlocksPass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-qiskit_CollectMultiQBlocksPass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-qiskit_RemoveIdentityEquivalentPass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-qiskit_OptimizeSwapBeforeMeasurePass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-qiskit_RemoveFinalResetPass,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-tket_SquashTK1Pass,QFT Circuit,5,heavy_hex,success,,182.0,123.0,32.0,28.0
qlego-tket_SquashRzPhasedXPass,QFT Circuit,5,heavy_hex,success,,182.0,104.0,32.0,28.0
qlego-tket_DecomposeSingleQubitsTK1Pass,QFT Circuit,5,heavy_hex,success,,212.0,133.0,32.0,28.0
qlego-tket_FullPeepholeOptimizePass,QFT Circuit,5,heavy_hex,success,,145.0,75.0,20.0,14.0
qlego-tket_CliffordSimpPass,QFT Circuit,5,heavy_hex,success,,160.0,90.0,20.0,14.0
qlego-tket_PeepholeOptimize2QPass,QFT Circuit,5,heavy_hex,success,,155.0,80.0,20.0,14.0
qlego-tket_KAKDecompositionPass,QFT Circuit,5,heavy_hex,success,,201.0,120.0,26.0,24.0
qlego-tket_RemoveRedundanciesPass,QFT Circuit,5,heavy_hex,success,,212.0,133.0,32.0,28.0
qlego-tket_RemovePhaseOpsPass,QFT Circuit,5,heavy_hex,success,,212.0,133.0,32.0,28.0
qlego-tket_DelayMeasuresPass,QFT Circuit,5,heavy_hex,success,,212.0,133.0,32.0,28.0
qlego-tket_SimplifyMeasuresPass,QFT Circuit,5,heavy_hex,success,,212.0,133.0,32.0,28.0
qlego-tket_RemoveDiscardedPass,QFT Circuit,5,heavy_hex,success,,212.0,133.0,32.0,28.0
qlego-tket_SynthesiseTketPass,QFT Circuit,5,heavy_hex,success,,157.0,103.0,32.0,28.0
qlego-bqskit_GroupSingleQuditGatePassPass,QFT Circuit,5,heavy_hex,success,,77.0,52.0,32.0,28.0
qlego-bqskit_ScanningGateRemovalPassPass,QFT Circuit,5,heavy_hex,success,,27.0,15.0,12.0,9.0
qlego-bqskit_IterativeScanningGateRemovalPassPass,QFT Circuit,5,heavy_hex,success,,27.0,15.0,12.0,9.0
qlego-bqskit_TreeScanningGateRemovalPassPass,QFT Circuit,5,heavy_hex,success,,27.0,15.0,12.0,9.0
qlego-bqskit_QuickPartitionerPass,QFT Circuit,5,heavy_hex,success,,77.0,52.0,32.0,28.0
Baseline,QFT Circuit,5,heavy_hex,success,,82.0,53.0,32.0,28.0
qlego-qiskit_PresetOptimizationPass,Amplitude Estimation Circuit,5,heavy_hex,success,,124.0,76.0,28.0,28.0
qlego-qiskit_Optimize1qGatesPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,245.0,54.0,54.0
qlego-qiskit_Optimize1qGateDecompositionPass,Amplitude Estimation Circuit,5,heavy_hex,success,,300.0,244.0,54.0,54.0
qlego-qiskit_Optimize1qGateSimpleCommutationPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,245.0,54.0,54.0
qlego-qiskit_CommutativeCancellationPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,245.0,54.0,54.0
qlego-qiskit_CommutationAnalysisPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,245.0,54.0,54.0
qlego-qiskit_CommutativeOptimizationPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,245.0,54.0,54.0
qlego-qiskit_OptimizeCliffordsPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,245.0,54.0,54.0
qlego-qiskit_OptimizeCliffordTPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,245.0,54.0,54.0
qlego-qiskit_CollectCliffordsPass,Amplitude Estimation Circuit,5,heavy_hex,success,,368.0,276.0,54.0,54.0
qlego-qiskit_Collect2qBlocksPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,245.0,54.0,54.0
qlego-qiskit_CollectMultiQBlocksPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,245.0,54.0,54.0
qlego-qiskit_RemoveIdentityEquivalentPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,245.0,54.0,54.0
qlego-qiskit_OptimizeSwapBeforeMeasurePass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,245.0,54.0,54.0
qlego-qiskit_RemoveFinalResetPass,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,245.0,54.0,54.0
qlego-tket_SquashTK1Pass,Amplitude Estimation Circuit,5,heavy_hex,success,,344.0,280.0,54.0,54.0
qlego-tket_SquashRzPhasedXPass,Amplitude Estimation Circuit,5,heavy_hex,success,,344.0,270.0,54.0,54.0
qlego-tket_DecomposeSingleQubitsTK1Pass,Amplitude Estimation Circuit,5,heavy_hex,success,,569.0,360.0,54.0,54.0
qlego-tket_FullPeepholeOptimizePass,Amplitude Estimation Circuit,5,heavy_hex,success,,185.0,104.0,20.0,18.0
qlego-tket_CliffordSimpPass,Amplitude Estimation Circuit,5,heavy_hex,success,,332.0,246.0,42.0,40.0
qlego-tket_PeepholeOptimize2QPass,Amplitude Estimation Circuit,5,heavy_hex,success,,175.0,99.0,20.0,18.0
qlego-tket_KAKDecompositionPass,Amplitude Estimation Circuit,5,heavy_hex,success,,226.0,142.0,26.0,26.0
qlego-tket_RemoveRedundanciesPass,Amplitude Estimation Circuit,5,heavy_hex,success,,344.0,280.0,54.0,54.0
qlego-tket_RemovePhaseOpsPass,Amplitude Estimation Circuit,5,heavy_hex,success,,344.0,280.0,54.0,54.0
qlego-tket_DelayMeasuresPass,Amplitude Estimation Circuit,5,heavy_hex,success,,344.0,280.0,54.0,54.0
qlego-tket_SimplifyMeasuresPass,Amplitude Estimation Circuit,5,heavy_hex,success,,344.0,280.0,54.0,54.0
qlego-tket_RemoveDiscardedPass,Amplitude Estimation Circuit,5,heavy_hex,success,,344.0,280.0,54.0,54.0
qlego-tket_SynthesiseTketPass,Amplitude Estimation Circuit,5,heavy_hex,success,,329.0,265.0,54.0,54.0
qlego-bqskit_GroupSingleQuditGatePassPass,Amplitude Estimation Circuit,5,heavy_hex,success,,296.0,244.0,54.0,54.0
qlego-bqskit_ScanningGateRemovalPassPass,Amplitude Estimation Circuit,5,heavy_hex,success,,36.0,21.0,12.0,9.0
qlego-bqskit_IterativeScanningGateRemovalPassPass,Amplitude Estimation Circuit,5,heavy_hex,success,,36.0,21.0,12.0,9.0
qlego-bqskit_TreeScanningGateRemovalPassPass,Amplitude Estimation Circuit,5,heavy_hex,success,,36.0,21.0,12.0,9.0
qlego-bqskit_QuickPartitionerPass,Amplitude Estimation Circuit,5,heavy_hex,success,,296.0,244.0,54.0,54.0
Baseline,Amplitude Estimation Circuit,5,heavy_hex,success,,301.0,245.0,54.0,54.0
qlego-qiskit_PresetOptimizationPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,120.0,75.0,27.0,27.0
qlego-qiskit_Optimize1qGatesPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-qiskit_Optimize1qGateDecompositionPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-qiskit_Optimize1qGateSimpleCommutationPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-qiskit_CommutativeCancellationPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-qiskit_CommutationAnalysisPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-qiskit_CommutativeOptimizationPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-qiskit_OptimizeCliffordsPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-qiskit_OptimizeCliffordTPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-qiskit_CollectCliffordsPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,162.0,102.0,32.0,32.0
qlego-qiskit_Collect2qBlocksPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-qiskit_CollectMultiQBlocksPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-qiskit_RemoveIdentityEquivalentPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-qiskit_OptimizeSwapBeforeMeasurePass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-qiskit_RemoveFinalResetPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-tket_SquashTK1Pass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,221.0,153.0,32.0,32.0
qlego-tket_SquashRzPhasedXPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,226.0,138.0,32.0,32.0
qlego-tket_DecomposeSingleQubitsTK1Pass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,231.0,163.0,32.0,32.0
qlego-tket_FullPeepholeOptimizePass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,158.0,88.0,19.0,17.0
qlego-tket_CliffordSimpPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,168.0,102.0,19.0,17.0
qlego-tket_PeepholeOptimize2QPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,158.0,88.0,19.0,17.0
qlego-tket_KAKDecompositionPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,214.0,136.0,25.0,25.0
qlego-tket_RemoveRedundanciesPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,231.0,163.0,32.0,32.0
qlego-tket_RemovePhaseOpsPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,231.0,163.0,32.0,32.0
qlego-tket_DelayMeasuresPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,231.0,163.0,32.0,32.0
qlego-tket_SimplifyMeasuresPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,231.0,163.0,32.0,32.0
qlego-tket_RemoveDiscardedPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,231.0,163.0,32.0,32.0
qlego-tket_SynthesiseTketPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,196.0,128.0,32.0,32.0
qlego-bqskit_GroupSingleQuditGatePassPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,87.0,67.0,32.0,32.0
qlego-bqskit_ScanningGateRemovalPassPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,37.0,21.0,12.0,9.0
qlego-bqskit_IterativeScanningGateRemovalPassPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,37.0,21.0,12.0,9.0
qlego-bqskit_TreeScanningGateRemovalPassPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,37.0,21.0,12.0,9.0
qlego-bqskit_QuickPartitionerPass,Quantum Phase Estimation Circuit,5,heavy_hex,success,,87.0,67.0,32.0,32.0
Baseline,Quantum Phase Estimation Circuit,5,heavy_hex,success,,91.0,68.0,32.0,32.0
qlego-qiskit_PresetOptimizationPass,W State Circuit,5,heavy_hex,success,,57.0,27.0,8.0,6.0
qlego-qiskit_Optimize1qGatesPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_Optimize1qGateDecompositionPass,W State Circuit,5,heavy_hex,success,,70.0,41.0,8.0,6.0
qlego-qiskit_Optimize1qGateSimpleCommutationPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_CommutativeCancellationPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_CommutationAnalysisPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_CommutativeOptimizationPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_OptimizeCliffordsPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_OptimizeCliffordTPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_CollectCliffordsPass,W State Circuit,5,heavy_hex,success,,110.0,45.0,8.0,8.0
qlego-qiskit_Collect2qBlocksPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_CollectMultiQBlocksPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_RemoveIdentityEquivalentPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_OptimizeSwapBeforeMeasurePass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-qiskit_RemoveFinalResetPass,W State Circuit,5,heavy_hex,success,,78.0,46.0,8.0,6.0
qlego-tket_SquashTK1Pass,W State Circuit,5,heavy_hex,success,,98.0,56.0,8.0,6.0
qlego-tket_SquashRzPhasedXPass,W State Circuit,5,heavy_hex,success,,98.0,56.0,8.0,6.0
qlego-tket_DecomposeSingleQubitsTK1Pass,W State Circuit,5,heavy_hex,success,,98.0,56.0,8.0,6.0
qlego-tket_FullPeepholeOptimizePass,W State Circuit,5,heavy_hex,success,,58.0,31.0,8.0,6.0
qlego-tket_CliffordSimpPass,W State Circuit,5,heavy_hex,success,,58.0,31.0,8.0,6.0
qlego-tket_PeepholeOptimize2QPass,W State Circuit,5,heavy_hex,success,,58.0,31.0,8.0,6.0
qlego-tket_KAKDecompositionPass,W State Circuit,5,heavy_hex,success,,98.0,56.0,8.0,6.0
qlego-tket_RemoveRedundanciesPass,W State Circuit,5,heavy_hex,success,,98.0,56.0,8.0,6.0
qlego-tket_RemovePhaseOpsPass,W State Circuit,5,heavy_hex,success,,98.0,56.0,8.0,6.0
qlego-tket_DelayMeasuresPass,W State Circuit,5,heavy_hex,success,,98.0,56.0,8.0,6.0
qlego-tket_SimplifyMeasuresPass,W State Circuit,5,heavy_hex,success,,98.0,56.0,8.0,6.0
qlego-tket_RemoveDiscardedPass,W State Circuit,5,heavy_hex,success,,98.0,56.0,8.0,6.0
qlego-tket_SynthesiseTketPass,W State Circuit,5,heavy_hex,success,,58.0,31.0,8.0,6.0
qlego-bqskit_GroupSingleQuditGatePassPass,W State Circuit,5,heavy_hex,success,,73.0,45.0,8.0,6.0
