layout_pass,circuit_type,num_qubits,topology,status,error,Gate Count,Circuit Depth,2Q Count,2Q Depth
qlego-tket_GraphPlacementPass,W State Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_NoiseAwarePlacementPass,W State Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-bqskit_GeneralizedSabrePass,W State Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_TrivialPlacementPass,W State Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_GreedyPlacementPass,W State Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_PAMLayoutPass,W State Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_SubtopologySelectionPass,W State Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-cirq_LinePlacementStrategyPass,W State Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_GreedySequenceSearchPass,W State Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_AnnealSequenceSearchPass,W State Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-qiskit_TrivialLayoutPass,Half Adder Circuit,5,heavy_hex,success,,81.0,61.0,43.0,39.0
qlego-qiskit_DenseLayoutPass,Half Adder Circuit,5,heavy_hex,success,,81.0,61.0,43.0,39.0
qlego-qiskit_SabreLayoutPass,Half Adder Circuit,5,heavy_hex,success,,72.0,58.0,34.0,33.0
qlego-qiskit_VF2LayoutPass,Half Adder Circuit,5,heavy_hex,failed,qiskit.transpiler.exceptions.TranspilerError: 'Layout algorithm failed to find a valid mapping.',,,,
qlego-qiskit_CSPLayoutPass,Half Adder Circuit,5,heavy_hex,failed,"qiskit.exceptions.MissingOptionalLibraryError: ""The 'python-constraint' library is required to use 'CSPLayout'. You can install it with 'pip install python-constraint'.""",,,,
qlego-qiskit_PresetLayoutPass,Half Adder Circuit,5,heavy_hex,success,,72.0,58.0,34.0,33.0
qlego-tket_LinePlacementPass,Half Adder Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_GraphPlacementPass,Half Adder Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_NoiseAwarePlacementPass,Half Adder Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-bqskit_GeneralizedSabrePass,Half Adder Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_TrivialPlacementPass,Half Adder Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_GreedyPlacementPass,Half Adder Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_PAMLayoutPass,Half Adder Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_SubtopologySelectionPass,Half Adder Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-cirq_LinePlacementStrategyPass,Half Adder Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_GreedySequenceSearchPass,Half Adder Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_AnnealSequenceSearchPass,Half Adder Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-qiskit_TrivialLayoutPass,DJ Circuit,10,heavy_hex,success,,151.0,80.0,72.0,49.0
qlego-qiskit_DenseLayoutPass,DJ Circuit,10,heavy_hex,success,,142.0,73.0,63.0,47.0
qlego-qiskit_SabreLayoutPass,DJ Circuit,10,heavy_hex,success,,109.0,47.0,30.0,30.0
qlego-qiskit_VF2LayoutPass,DJ Circuit,10,heavy_hex,failed,qiskit.transpiler.exceptions.TranspilerError: 'Layout algorithm failed to find a valid mapping.',,,,
qlego-qiskit_CSPLayoutPass,DJ Circuit,10,heavy_hex,failed,"qiskit.exceptions.MissingOptionalLibraryError: ""The 'python-constraint' library is required to use 'CSPLayout'. You can install it with 'pip install python-constraint'.""",,,,
qlego-qiskit_PresetLayoutPass,DJ Circuit,10,heavy_hex,success,,103.0,39.0,24.0,24.0
qlego-tket_LinePlacementPass,DJ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_GraphPlacementPass,DJ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_NoiseAwarePlacementPass,DJ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-bqskit_GeneralizedSabrePass,DJ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_TrivialPlacementPass,DJ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_GreedyPlacementPass,DJ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_PAMLayoutPass,DJ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_SubtopologySelectionPass,DJ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-cirq_LinePlacementStrategyPass,DJ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_GreedySequenceSearchPass,DJ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_AnnealSequenceSearchPass,DJ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-qiskit_TrivialLayoutPass,GHZ Circuit,10,heavy_hex,success,,22.0,13.0,9.0,9.0
qlego-qiskit_DenseLayoutPass,GHZ Circuit,10,heavy_hex,success,,25.0,16.0,12.0,12.0
qlego-qiskit_SabreLayoutPass,GHZ Circuit,10,heavy_hex,success,,22.0,13.0,9.0,9.0
qlego-qiskit_VF2LayoutPass,GHZ Circuit,10,heavy_hex,success,,22.0,13.0,9.0,9.0
qlego-qiskit_CSPLayoutPass,GHZ Circuit,10,heavy_hex,failed,"qiskit.exceptions.MissingOptionalLibraryError: ""The 'python-constraint' library is required to use 'CSPLayout'. You can install it with 'pip install python-constraint'.""",,,,
qlego-qiskit_PresetLayoutPass,GHZ Circuit,10,heavy_hex,success,,22.0,13.0,9.0,9.0
qlego-tket_LinePlacementPass,GHZ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_GraphPlacementPass,GHZ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_NoiseAwarePlacementPass,GHZ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-bqskit_GeneralizedSabrePass,GHZ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_TrivialPlacementPass,GHZ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_GreedyPlacementPass,GHZ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_PAMLayoutPass,GHZ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_SubtopologySelectionPass,GHZ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-cirq_LinePlacementStrategyPass,GHZ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_GreedySequenceSearchPass,GHZ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_AnnealSequenceSearchPass,GHZ Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-qiskit_TrivialLayoutPass,Grover Circuit,10,heavy_hex,success,,68013.0,48566.0,40350.0,29960.0
qlego-qiskit_DenseLayoutPass,Grover Circuit,10,heavy_hex,success,,66477.0,49028.0,38814.0,29989.0
qlego-qiskit_SabreLayoutPass,Grover Circuit,10,heavy_hex,success,,64953.0,48788.0,37290.0,29761.0
qlego-qiskit_VF2LayoutPass,Grover Circuit,10,heavy_hex,failed,qiskit.transpiler.exceptions.TranspilerError: 'Layout algorithm failed to find a valid mapping.',,,,
qlego-qiskit_CSPLayoutPass,Grover Circuit,10,heavy_hex,failed,"qiskit.exceptions.MissingOptionalLibraryError: ""The 'python-constraint' library is required to use 'CSPLayout'. You can install it with 'pip install python-constraint'.""",,,,
qlego-qiskit_PresetLayoutPass,Grover Circuit,10,heavy_hex,success,,59586.0,46168.0,31923.0,26041.0
qlego-tket_LinePlacementPass,Grover Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_GraphPlacementPass,Grover Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_NoiseAwarePlacementPass,Grover Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-bqskit_GeneralizedSabrePass,Grover Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_TrivialPlacementPass,Grover Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_GreedyPlacementPass,Grover Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_PAMLayoutPass,Grover Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_SubtopologySelectionPass,Grover Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-cirq_LinePlacementStrategyPass,Grover Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_GreedySequenceSearchPass,Grover Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_AnnealSequenceSearchPass,Grover Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-qiskit_TrivialLayoutPass,QFT Circuit,10,heavy_hex,success,,409.0,201.0,234.0,127.0
qlego-qiskit_DenseLayoutPass,QFT Circuit,10,heavy_hex,success,,391.0,185.0,216.0,115.0
qlego-qiskit_SabreLayoutPass,QFT Circuit,10,heavy_hex,success,,364.0,184.0,189.0,114.0
qlego-qiskit_VF2LayoutPass,QFT Circuit,10,heavy_hex,failed,qiskit.transpiler.exceptions.TranspilerError: 'Layout algorithm failed to find a valid mapping.',,,,
qlego-qiskit_CSPLayoutPass,QFT Circuit,10,heavy_hex,failed,"qiskit.exceptions.MissingOptionalLibraryError: ""The 'python-constraint' library is required to use 'CSPLayout'. You can install it with 'pip install python-constraint'.""",,,,
qlego-qiskit_PresetLayoutPass,QFT Circuit,10,heavy_hex,success,,364.0,184.0,189.0,114.0
qlego-tket_LinePlacementPass,QFT Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_GraphPlacementPass,QFT Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_NoiseAwarePlacementPass,QFT Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-bqskit_GeneralizedSabrePass,QFT Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_TrivialPlacementPass,QFT Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_GreedyPlacementPass,QFT Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_PAMLayoutPass,QFT Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_SubtopologySelectionPass,QFT Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-cirq_LinePlacementStrategyPass,QFT Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_GreedySequenceSearchPass,QFT Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
qlego-cirq_AnnealSequenceSearchPass,QFT Circuit,10,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.routing',,,,
